date	close
24-Apr-15	93.24
25-Apr-15	95.35
26-Apr-15	98.84
27-Apr-15	99.92
30-Apr-15	99.80
1-May-15	99.47
2-May-15	100.39
3-May-15	100.40
4-May-15	100.81
7-May-15	103.92
8-May-15	105.06
9-May-15	106.88
10-May-15	107.34
11-May-15	108.74
14-May-15	109.36
15-May-15	107.52
16-May-15	107.34
17-May-15	109.44
18-May-15	110.02
21-May-15	111.98
22-May-15	113.54
23-May-15	112.89
24-May-15	110.69
25-May-15	113.62
29-May-15	114.35
30-May-15	118.77
31-May-15	121.19
1-Jun-15	118.40
4-Jun-15	121.33
5-Jun-15	122.67
6-Jun-15	123.64
7-Jun-15	124.07
8-Jun-15	124.49
11-Jun-15	120.19
12-Jun-15	120.38
13-Jun-15	117.50
14-Jun-15	118.75
15-Jun-15	120.50
18-Jun-15	125.09
19-Jun-15	123.66
20-Jun-15	121.55
21-Jun-15	123.90
22-Jun-15	123.00
25-Jun-15	122.34
26-Jun-15	119.65
27-Jun-15	121.89
28-Jun-15	120.56
29-Jun-15	122.04
2-Jul-15	121.26
3-Jul-15	127.17
5-Jul-15	132.75
6-Jul-15	132.30
9-Jul-15	130.33
10-Jul-15	132.35
11-Jul-15	132.39
12-Jul-15	134.07
13-Jul-15	137.73
16-Jul-15	138.10
17-Jul-15	138.91
18-Jul-15	138.12
19-Jul-15	140.00
20-Jul-15	143.75
23-Jul-15	143.70
24-Jul-15	134.89
25-Jul-15	137.26
26-Jul-15	146.00
27-Jul-15	143.85
30-Jul-15	141.43
31-Jul-15	131.76
1-Aug-15	135.00
2-Aug-15	136.49
3-Aug-15	131.85
6-Aug-15	135.25
7-Aug-15	135.03
8-Aug-15	134.01
9-Aug-15	126.39
10-Aug-15	125.00
13-Aug-15	127.79
14-Aug-15	124.03
15-Aug-15	119.90
16-Aug-15	117.05
17-Aug-15	122.06
20-Aug-15	122.22
21-Aug-15	127.57
22-Aug-15	132.51
23-Aug-15	131.07
24-Aug-15	135.30
27-Aug-15	132.25
28-Aug-15	126.82
29-Aug-15	134.08
30-Aug-15	136.25
31-Aug-15	138.48
4-Sep-15	144.16
5-Sep-15	136.76
6-Sep-15	135.01
7-Sep-15	131.77
10-Sep-15	136.71
11-Sep-15	135.49
12-Sep-15	136.85
13-Sep-15	137.20
14-Sep-15	138.81
17-Sep-15	138.41
18-Sep-15	140.92
19-Sep-15	140.77
20-Sep-15	140.31
21-Sep-15	144.15
24-Sep-15	148.28
25-Sep-15	153.18
26-Sep-15	152.77
27-Sep-15	154.50
28-Sep-15	153.47
1-Oct-15	156.34
2-Oct-15	158.45
3-Oct-15	157.92
4-Oct-15	156.24
5-Oct-15	161.45
8-Oct-15	167.91
9-Oct-15	167.86
10-Oct-15	166.79
11-Oct-15	162.23
12-Oct-15	167.25
15-Oct-15	166.98
16-Oct-15	169.58
17-Oct-15	172.75
18-Oct-15	173.50
19-Oct-15	170.42
22-Oct-15	174.36
23-Oct-15	186.16
24-Oct-15	185.93
25-Oct-15	182.78
26-Oct-15	184.70
29-Oct-15	185.09
30-Oct-15	187.00
31-Oct-15	189.95
1-Nov-15	187.44
2-Nov-15	187.87
5-Nov-15	186.18
6-Nov-15	191.79
7-Nov-15	186.30
8-Nov-15	175.47
9-Nov-15	165.37
12-Nov-15	153.76
13-Nov-15	169.96
14-Nov-15	166.11
15-Nov-15	164.30
16-Nov-15	166.39
19-Nov-15	163.95
20-Nov-15	168.85
21-Nov-15	168.46
23-Nov-15	171.54
26-Nov-15	172.54
27-Nov-15	174.81
28-Nov-15	180.22
29-Nov-15	184.29
30-Nov-15	182.22
3-Dec-15	178.86
4-Dec-15	179.81
5-Dec-15	185.50
6-Dec-15	189.95
7-Dec-15	194.30
10-Dec-15	194.21
11-Dec-15	188.54
12-Dec-15	190.86
13-Dec-15	191.83
14-Dec-15	190.39
17-Dec-15	184.40
18-Dec-15	182.98
19-Dec-15	183.12
20-Dec-15	187.21
21-Dec-15	193.91
24-Dec-15	198.80
26-Dec-15	198.95
27-Dec-15	198.57
28-Dec-15	199.83
31-Dec-15	198.08
2-Jan-16	194.84
3-Jan-16	194.93
4-Jan-16	180.05
7-Jan-16	177.64
8-Jan-16	171.25
9-Jan-16	179.40
10-Jan-16	178.02
11-Jan-16	172.69
14-Jan-16	178.78
15-Jan-16	169.04
16-Jan-16	159.64
17-Jan-16	160.89
18-Jan-16	161.36
22-Jan-16	155.64
23-Jan-16	139.07
24-Jan-16	135.60
25-Jan-16	130.01
28-Jan-16	130.01
29-Jan-16	131.54
30-Jan-16	132.18
31-Jan-16	135.36
1-Feb-16	133.75
4-Feb-16	131.65
5-Feb-16	129.36
6-Feb-16	122.00
7-Feb-16	121.24
8-Feb-16	125.48
11-Feb-16	129.45
12-Feb-16	124.86
13-Feb-16	129.40
14-Feb-16	127.46
15-Feb-16	124.63
19-Feb-16	122.18
20-Feb-16	123.82
21-Feb-16	121.54
22-Feb-16	119.46
25-Feb-16	119.74
26-Feb-16	119.15
27-Feb-16	122.96
28-Feb-16	129.91
29-Feb-16	125.02
3-Mar-16	121.73
4-Mar-16	124.62
5-Mar-16	124.49
6-Mar-16	120.93
7-Mar-16	122.25
10-Mar-16	119.69
11-Mar-16	127.35
12-Mar-16	126.03
13-Mar-16	127.94
14-Mar-16	126.61
17-Mar-16	126.73
18-Mar-16	132.82
19-Mar-16	129.67
20-Mar-16	133.27
24-Mar-16	139.53
25-Mar-16	140.98
26-Mar-16	145.06
27-Mar-16	140.25
28-Mar-16	143.01
31-Mar-16	143.50
1-Apr-16	149.53
2-Apr-16	147.49
3-Apr-16	151.61
4-Apr-16	153.08
7-Apr-16	155.89
8-Apr-16	152.84
9-Apr-16	151.44
10-Apr-16	154.55
11-Apr-16	147.14
14-Apr-16	147.78
15-Apr-16	148.38
16-Apr-16	153.70
17-Apr-16	154.49
18-Apr-16	161.04
21-Apr-16	168.16
22-Apr-16	160.20
23-Apr-16	162.89
24-Apr-16	168.94
25-Apr-16	169.73
28-Apr-16	172.24
29-Apr-16	175.05
30-Apr-16	173.95
1-May-16	180.00
2-May-16	180.94
5-May-16	184.73
6-May-16	186.66
7-May-16	182.59
8-May-16	185.06
9-May-16	183.45
12-May-16	188.16
13-May-16	189.96
14-May-16	186.26
15-May-16	189.73
16-May-16	187.62
19-May-16	183.60
20-May-16	185.90
21-May-16	178.19
22-May-16	177.05
23-May-16	181.17
27-May-16	186.43
28-May-16	187.01
29-May-16	186.69
30-May-16	188.75
2-Jun-16	186.10
3-Jun-16	185.37
4-Jun-16	185.19
5-Jun-16	189.43
6-Jun-16	185.64
9-Jun-16	181.61
10-Jun-16	185.64
11-Jun-16	180.81
12-Jun-16	173.26
13-Jun-16	172.37
16-Jun-16	176.84
17-Jun-16	181.43
18-Jun-16	178.75
19-Jun-16	180.90
20-Jun-16	175.27
23-Jun-16	173.16
24-Jun-16	173.25
25-Jun-16	177.39
26-Jun-16	168.26
27-Jun-16	170.09
30-Jun-16	167.44
1-Jul-16	174.68
2-Jul-16	168.18
3-Jul-16	170.12
7-Jul-16	175.16
8-Jul-16	179.55
9-Jul-16	174.25
10-Jul-16	176.63
11-Jul-16	172.58
14-Jul-16	173.88
15-Jul-16	169.64
16-Jul-16	172.81
17-Jul-16	171.81
18-Jul-16	165.15
21-Jul-16	166.29
22-Jul-16	162.02
23-Jul-16	166.26
24-Jul-16	159.03
25-Jul-16	162.12
28-Jul-16	154.40
29-Jul-16	157.08
30-Jul-16	159.88
31-Jul-16	158.95
1-Aug-16	156.66
4-Aug-16	153.23
5-Aug-16	160.64
6-Aug-16	164.19
7-Aug-16	163.57
8-Aug-16	169.55
11-Aug-16	173.56
12-Aug-16	176.73
13-Aug-16	179.30
14-Aug-16	179.32
15-Aug-16	175.74
18-Aug-16	175.39
19-Aug-16	173.53
20-Aug-16	175.84
21-Aug-16	174.29
22-Aug-16	176.79
25-Aug-16	172.55
26-Aug-16	173.64
27-Aug-16	174.67
28-Aug-16	173.74
29-Aug-16	169.53
2-Sep-16	166.19
3-Sep-16	166.96
4-Sep-16	161.22
5-Sep-16	160.18
8-Sep-16	157.92
9-Sep-16	151.68
10-Sep-16	151.61
11-Sep-16	152.65
12-Sep-16	148.94
15-Sep-16	140.36
16-Sep-16	139.88
17-Sep-16	127.83
18-Sep-16	134.09
19-Sep-16	140.91
22-Sep-16	131.05
23-Sep-16	126.84
24-Sep-16	128.71
25-Sep-16	131.93
26-Sep-16	128.24
29-Sep-16	105.26
30-Sep-16	113.66
1-Oct-16	109.12
2-Oct-16	100.10
3-Oct-16	97.07
6-Oct-16	98.14
